marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	16403570	R2NM84TNF85D1U	B0084U4KR2	329769663	Elsewhere: A memoir	Digital_Ebook_Purchase	4	0	1	N	Y	Elsewhere: A memoir	I have read ally go Richard Russo's books. This explains a lot about where his themes came from, and was funny and heartwarming to boot!	2013-01-09
US	13826098	R2T2W8LB96LBEU	B0084ZX6OK	35289998	Deadly Deceptions (A Mojo Sheepshanks Novel)	Digital_Ebook_Purchase	5	0	0	N	Y	DEADLY DECEPTIONS	I REALLY ENJOYED THIS ONE, A LITTLE DIFFERENT BUT STILL LINDA LAEL MILLER'S POSITIVE GREAT ENDINGS.  WHEN I READ THE EXCERT FOR THE NEXT ONE I HAD TO BUY IT TOO!	2013-01-07
US	39047537	R252URU3FSLMZX	B004LGTJHE	772298066	A Stepmother's Story: The TRUE Tale of Cinderella	Digital_Ebook_Purchase	5	0	0	N	Y	Hilarious short story	Short and sweet. Very witty and enjoyable. Can't wait to read more from this author, she's an up and comer for this genre !	2013-01-07
US	51388022	R2B1TC3YK9O3B7	B00A8NGKIK	999218129	Aftermath	Digital_Ebook_Purchase	5	1	1	N	Y	Great Book	I loved this book.  It was great to read about the town of Jericho<br />and all the wonderful characters that live their.  I can only hope<br />for more.	2013-01-07
US	17860763	R3LUH89KDJSI3F	B007K81D60	526153138	Lily Lemon Blossom Welcome to Lily's Room: (Kids Book, Picture Books, Ages 3-5, Preschool Books, Baby Books, Children's Bedtime Story)	Digital_Ebook_Purchase	4	0	0	N	Y	Awesome blossom	Between 1 and 100 ,100 being the best.<br />That would be 98.<br />Really really good book .<br />Love this book.	2013-01-07
US	20943296	R3LZL4M8AALVQO	B00AVDYY1W	592984804	The Valentine's Arrangement	Digital_Ebook_Purchase	5	0	0	N	Y	Loved it!!!	There is nothing hotter than a sexy military man!! I loved the chemistry between Kale and Ronnie, although sometimes I wanted to shake her for not staking her claim to him from the very beginning :) This book made me laugh and cry. Trust me, buy this book...you will not be disappointed!!	2013-01-06
US	45422662	R3F2IHMAL2ILOB	B005OH8U1A	4074047	Laurell K. Hamilton's Anita Blake, Vampire Hunter collection 6-10	Digital_Ebook_Purchase	5	0	0	N	Y	To Many Typepos	Very happy with my Kindel , however one of the books in the series had so many typepo's and the size of the font kepted changing on me other then that It was an enjoyable read	2013-01-05
US	10537319	R2GHVVECJCYREC	B004TKX22A	671978132	Vagabonds: A gripping saga of love, hope and determination (Emma Grady trilogy, Book 3)	Digital_Ebook_Purchase	5	1	1	N	Y	Josephine Cox - Vagabonds - 3rd in the series	As always the characters in Josephine Cox's books come together in the end. This book was a good ending to a very good series.  I am sure anyone reading these books will get a lot of enjoyment from them..	2013-01-05
US	12366990	R32VCFTA55YPLQ	B00972RP7I	478832318	Jack Of Diamonds	Digital_Ebook_Purchase	5	0	0	N	Y	Loved this one	I love Bryce Courtney and I have all his books and this his last book did not disappoint me at all	2013-01-04
US	38439404	R284IHZLQEW24H	B0093MU7QS	531894839	101 best jokes	Digital_Ebook_Purchase	3	0	0	N	Y	Jokes	They haven't been that bad.  Have been enjoying the laughs.  Keep them coming. Let's see what is next on the list	2013-01-04
US	15679557	R35ALF3RNBFA2T	B004UHONJS	73481407	The Little Book of Gratitude Quotes: Inspiring Words to Live By (Little Quote Books 1)	Digital_Ebook_Purchase	5	0	0	N	Y	EXCELLENT!	This book gives personal inspiration and is an excellent resource to share with others. I have shared this book with all of my close friends.	2013-01-04
US	11531167	R2TX4MVZR7138T	B004NNVKAO	539602784	The Vampire's Warden (Undead in Brown County #1)	Digital_Ebook_Purchase	4	0	0	N	Y	Good read	Enjoyed reading this story.  Interesting take on a vampire story that's for sure.  A bit of a different turn in this story.	2013-01-03
US	22345301	R3H7IDD16LUNQM	B00AOTGI08	525842022	Fallen Too Far	Digital_Ebook_Purchase	4	0	1	N	Y	Great another series	"The book is good. It's a fun weekend read. People need to see books for what they are and that is entertainment and often some authors will provide a novel that is inspirational/motivational, or life changing. I don't expect every book I grab to be anything more than entertaining. I liked this book. The characters are okay, the plot good but dang it now I have to wait to find out what happens next. I really need to find a book about \\\\\"finding\\\\\" patience. I'm curious as to were this twisted romance and family secret is going to go."	2013-01-03
US	36601879	R2784MXG1RSFWD	B0053CTMBI	60533575	Witchful Thinking: A Jolie Wilkins Novel	Digital_Ebook_Purchase	3	0	0	N	Y	Disappointed	Not nearly as good as the rest of the books in the series. A lot of time was wasted on recapping what happened in previous book s as well as pointless journal entries that are nothing more than space fillers. No action. This book could be summarized in one sentence but I don't want to spoil it, even though I doubt it could be spoiled considering how much of a waste of time it was.	2013-01-02
US	42333535	RZBMGS9RMPDC1	B0043M678A	158057746	The Gifts of Imperfection: Let Go of Who You Think You're Suppose to Be and Embrace Who You Are	Digital_Ebook_Purchase	5	1	1	N	Y	Excellent	This book was such an eye opener for me.I've feel that finally understand. This book has renewed me! It has given the freedom to be who I was,once upon a time before going into hiding,if you know what I mean.	2013-01-02
US	37614067	RVD6ZYXTQ5RRP	B006FDAHZ4	678501208	The Opportunist (Love Me With Lies Book 1)	Digital_Ebook_Purchase	3	1	1	N	Y	Clever and entertaining	Storyline was not altogether convincing, and sometimes frustrating (as is the main character), but the book is pretty well written and a fast read.  A fun, fantasy romance story.	2013-01-01
US	26049043	R2PP9H3SY5D3G8	B004CFA9RS	941986263	Divergent (Divergent Trilogy, Book 1)	Digital_Ebook_Purchase	4	0	0	N	Y	Good, fast paced read	I decided to read this book based on a recommendation from a friend who said if I enjoyed the hunger games that I would enjoy this series. I have to say I wasn't disappointed! This is definitely a good read and if you are anything like me you will get sucked in and not want to put it down!	2013-01-01
US	34898680	RX5B54JVSSNZA	B00348UMR6	257234845	Perfect Timing: When you meet the man of your dreams on the night before your wedding, it's hardly...	Digital_Ebook_Purchase	4	0	0	N	Y	Another twisty tale!	Love the spinning of a great love story.  Makes you stop and wonder, is he the one you've been looking for?	2013-01-01
US	45426487	RBQL0XMSP43A6	B007PG4NSW	943520546	The Settler (The Lion and the Leopard Trilogy Book 1)	Digital_Ebook_Purchase	5	0	0	N	Y	Fantastic	Great, could not put down at all a well written story, perhaps a follow up could happen in the future.	2013-01-01
US	52943107	R25GK9R4ZWHCY7	B00ASZC4JW	923809666	The Spirits of Christmas (A Tassamara Short Story)	Digital_Ebook_Purchase	5	2	2	N	Y	What a lovely gift	This is a wonderful story, that is not so Christmas-y that you wouldn't enjoy it in July. The characters will be familiar to Tassamara readers and their thoughts and actions will warm your heart and make you wonder. I loved this story and I want to keep reading more and more about Akiva and Zane and Rose.	2012-12-31
US	46076757	R1Q6BZLBO2RGDT	B001C33LBO	892871413	That's My Son: How Moms Can Influence Boys to Become Men of Character	Digital_Ebook_Purchase	5	0	1	N	Y	awesome	excellent book. I am married, with two toddler sons - this book is exactly what i was looking for! well worth the $ and time.	2012-12-30
US	13719874	R37GTOOSESVNSF	B002MQYOFW	245449872	The Hunger Games (Hunger Games Trilogy, Book 1)	Digital_Ebook_Purchase	5	0	0	N	N	Suspenseful to the very end.	I wanted to read this book before seeing the movie since it was becoming so popular. I felt it was a fun read and had a lot of suspense throughout the story. I couldn't put it down and it only took a couple days to get through. I'm excited to venture to the other books in the series.	2012-12-29
US	47176295	R3O13KGMBWVS6R	B000FC0POO	976518630	Hello, Darkness	Digital_Ebook_Purchase	4	0	0	N	Y	Excellent book!	Kept me involved from beginning to end.  Would consider this one of the best Sandra Brown has written.  Definitely recommend.	2012-12-28
US	50749962	R3P50OMCFRM999	B009UX317M	507637908	Mad Dog House (Mad Dog Trilogy Book 1)	Digital_Ebook_Purchase	2	2	7	N	Y	Read this before	I couldn't finish the book. The writing was good, but the plot was familiar, childhood friends meet up not by acci, one is a happily married doctor & the other does not appear honest (a childhood troublemaker)  & wants doctor to invest & then add in the doctor's CPA  who is one of the childhood group.<br />I didn't think  needed to keep reading to know how the story end line,.<br />However there may be a lot of readers who will enjoy the book & how it ends/	2012-12-26
US	33744777	R11VGVY2FAZBH	B000FC1J3U	507593319	Like Water for Chocolate: A Novel in Monthly Installments with Recipes, Romances, and Home Remedies	Digital_Ebook_Purchase	5	0	0	N	Y	Like Water for Chocolate	This is a beautiful book; even more so than the movie. Magical realism along the lines of Gabriel Garcia Marquez or Isabelle Allende.	2012-12-24
US	21509006	RY9D8H6BBAMD4	B000FC12I2	656635142	Lady Be Good (Wynette, Texas)	Digital_Ebook_Purchase	5	0	0	N	Y	great read	I love all her books this one is great also, once again its a feel good book to badd more books dont come out sooner	2012-12-24
US	15599060	R3KHZMV1DN93GV	B004UPVN3O	399969096	Girl Meets God: On the Path to a Spiritual Life	Digital_Ebook_Purchase	5	2	3	N	Y	The dichotomous key to Jewish/Christian practices	Lauren Winner compares her Jewish upbringing, and her current Christian practices, in the most mundane details of seriously living a faith.  Two faith paths have diverged over many centuries, split on the recognition of Jesus as Messiah.  Jews worship G-d, Christians worship Jesus.  Jews are immersed in a highly disciplined community, a dutiful, vibrant fellowship true to the Torah well into its third millennium.  Practice is to Jews what belief is to Christians.  Jewish faith everywhere has been sorely tested by anti-Semitism, and that has created a highly resilient, highly intellectual, highly adaptable expression.  Jews derive great coherence and compassion from their rituals.<br />This is a very comfortable, non-technical, leisurely story of how Lauren has inhabited two different faiths, both of which she respects.	2012-12-23
US	13159461	R1GIF5YPIF185W	B00AFBLUNA	339045628	The Christmas Wish	Digital_Ebook_Purchase	3	0	1	N	Y	Sweet Romantic story with little color or depth	"Three stars may be a bit generous.  The story line was positive upbeat.  A little Christmas romance.  If you are looking for a little romantic Christmas read with little reference to religion this is the book for you.  However, one of the main characters is a perfect \\\\\"do-gooder\\\\\".<br /><br />I found the story sweet.  However, there was not much in the way of depth, color, description or setting.  I felt in lacking in the richness of a well written story.  It gets the job done, but could be that much better with more color."	2012-12-20
US	44615514	R2QXSP06W4261R	B004VS97C4	869923348	Hydroponic Basics: The Basics of Soilless Gardening Indoors	Digital_Ebook_Purchase	2	0	0	N	Y	Information for free on the internet	Was expecting a bit of a more in depth guide, all of the information in this book can be gleaned from a few hours of google searching on hydroponics basics.<br /><br />I will give it one plus that you dont have to dig through a quagmire of shady marijuana growing sites to get the info.	2012-12-20
US	9800457	R184C2EOYRNYH	B004UWPNJM	16244024	Something (Short story)	Digital_Ebook_Purchase	3	0	0	N	Y	Too short	Wish it was longer!  Would have been a good book.  It seems like the first chapter and last chapter all took fast.	2012-12-20
US	37637002	R2X7BEPB4TD44W	B004UJISMY	563840228	The Adventures of Huckleberry Finn Tom Sawyer's Comrade	Digital_Ebook_Purchase	5	0	0	N	Y	Great Novel!	Anytime you can get a book by mark twain free, get it. One reason to get a kindle<br />is free downloads of classic novels.	2012-12-19
